Polo;Fator_K_Atual;Fator_K_Sugerido;Qtd_Rotas_Analisadas;Nivel_Confianca;Observacao
ANGRA;1.82;1.78;138;Alta Precisão;Sugestão calculada
ARARUAMA;1.52;1.52;110;Alta Precisão;Sugestão calculada
CABO FRIO;1.78;1.78;40;Confiável;Sugestão calculada
NITERÓI;2.19;2.05;180;Alta Precisão;Sugestão calculada
MARICÁ;1.91;1.91;82;Confiável;Sugestão calculada
SÃO GONÇALO;1.78;1.78;91;Confiável;Sugestão calculada
ITABORAÍ;1.73;1.73;88;Confiável;Sugestão calculada
DUQUE DE CAXIAS;2.03;2.03;54;Confiável;Sugestão calculada
MAGÉ;1.77;1.77;92;Confiável;Sugestão calculada
PETROPOLIS;2.57;2.57;114;Alta Precisão;Sugestão calculada
TERESOPOLIS;2.11;2.11;92;Confiável;Sugestão calculada
RESENDE;2.61;2.61;96;Confiável;Sugestão calculada
CAMPOS;1.66;1.66;100;Alta Precisão;Sugestão calculada
MACAÉ;1.45;1.45;102;Alta Precisão;Sugestão calculada
CANTAGALO;2.15;2.15;93;Confiável;Sugestão calculada
ITAPERUNA;2.15;2.15;106;Alta Precisão;Sugestão calculada
PADUA;1.56;1.56;86;Confiável;Sugestão calculada
