Centro Operativo;latitude;longitude;fator_k;
ANGRA;-22,985209;-44,29718;1.82;atualizado
ARARUAMA;-22,8656844;-42,3465108;1.52;atualizado
CABO FRIO;-22,88180117;-42,03792631;1.78;atualizado
NITERÓI;-22,90684155;-43,06050544;2.19;
MARICÁ;-22,93460844;-42,82927744;1.91;
SÃO GONÇALO;-22,81835844;-43,00927744;1.78;
ITABORAÍ;-22,76933844;-42,939244;1.73;
DUQUE DE CAXIAS;-22,65320844;-43,28046955;2.03;
MAGÉ;-22,56028044;-42,95789455;1.77;
PETROPOLIS;-22,51537244;-43,17223044;2.57;
TERESOPOLIS;-22,41835844;-42,97243655;2.11;
RESENDE;-22,464894;-44,439318;2.61;atualizado
CAMPOS;-21,40817744;-41,04624755;1.66;
MACAÉ;-22,1866;-41,64159466;1.45;
CANTAGALO;-22,10741366;-42,16311366;2.15;
ITAPERUNA;-21,31862266;-41,92824466;2.15;
PADUA;-21,62648066;-42,10878666;1.56;
